log_date,vessel_id,fuel_grade,consumption_mt,speed_knots,distance_nm,running_hours,eeoi,load_factor,sea_condition,source_system,ingestion_date
2023-09-01,1,LSMGO,65.35,15.7,376.8,24,540.074,0.8,Calm,FMS_MARITIME,2026-04-06
2023-09-02,1,HFO,57.52,10.8,259.2,24,691.0389,0.96,Moderate,FMS_MARITIME,2026-04-06
2023-09-03,1,LNG,66.19,8.0,192.0,24,1073.5191,0.98,Moderate,FMS_MARITIME,2026-04-06
2023-09-04,1,LSMGO,65.63,12.9,309.6,24,660.1157,0.66,Moderate,FMS_MARITIME,2026-04-06
2023-09-05,1,MGO,31.52,15.4,369.6,24,265.5662,0.77,Rough,FMS_MARITIME,2026-04-06
2023-09-06,1,HFO,43.0,8.6,206.4,24,648.75,0.96,Moderate,FMS_MARITIME,2026-04-06
2023-09-07,1,VLSFO,43.36,16.1,386.4,24,349.4385,0.97,Moderate,FMS_MARITIME,2026-04-06
2023-09-08,1,MGO,34.44,11.9,285.6,24,375.5118,0.66,Moderate,FMS_MARITIME,2026-04-06
2023-09-09,1,LNG,46.0,11.0,264.0,24,542.5909,0.81,Rough,FMS_MARITIME,2026-04-06
2023-09-10,1,MGO,53.87,11.9,285.6,24,587.3641,0.62,Calm,FMS_MARITIME,2026-04-06
2023-09-11,1,MGO,68.33,17.8,427.2,24,498.0796,0.5,Rough,FMS_MARITIME,2026-04-06
2023-09-12,1,LNG,24.04,10.5,252.0,24,297.0657,0.54,Calm,FMS_MARITIME,2026-04-06
2023-09-13,1,MGO,45.67,15.1,362.4,24,392.4293,0.85,Calm,FMS_MARITIME,2026-04-06
2023-09-14,1,VLSFO,23.54,10.8,259.2,24,282.8069,0.59,Rough,FMS_MARITIME,2026-04-06
2023-09-15,1,MGO,56.43,10.8,259.2,24,677.9438,0.53,Rough,FMS_MARITIME,2026-04-06
2023-09-16,1,VLSFO,45.95,10.4,249.6,24,573.2704,0.65,Calm,FMS_MARITIME,2026-04-06
2023-09-17,1,MGO,64.32,12.7,304.8,24,657.1276,0.91,Rough,FMS_MARITIME,2026-04-06
2023-09-18,1,LSMGO,27.63,14.9,357.6,24,240.6035,0.42,Rough,FMS_MARITIME,2026-04-06
2023-09-19,1,LNG,60.12,9.0,216.0,24,866.73,0.93,Calm,FMS_MARITIME,2026-04-06
2023-09-20,1,LSMGO,78.03,17.1,410.4,24,592.0697,0.97,Moderate,FMS_MARITIME,2026-04-06
2023-09-21,1,VLSFO,17.64,15.2,364.8,24,150.5783,0.4,Rough,FMS_MARITIME,2026-04-06
2023-09-22,1,LSMGO,58.65,12.5,300.0,24,608.787,0.78,Moderate,FMS_MARITIME,2026-04-06
2023-09-23,1,MGO,43.71,9.4,225.6,24,603.3375,0.73,Rough,FMS_MARITIME,2026-04-06
2023-09-24,1,LNG,34.58,11.4,273.6,24,393.575,0.45,Moderate,FMS_MARITIME,2026-04-06
2023-09-25,1,HFO,19.2,14.4,345.6,24,173.0,0.91,Moderate,FMS_MARITIME,2026-04-06
2023-09-26,1,VLSFO,52.78,17.3,415.2,24,395.85,0.56,Calm,FMS_MARITIME,2026-04-06
2023-09-27,1,LNG,60.4,11.6,278.4,24,675.5948,0.76,Moderate,FMS_MARITIME,2026-04-06
2023-09-28,1,LSMGO,48.63,14.3,343.2,24,441.2407,0.81,Calm,FMS_MARITIME,2026-04-06
2023-09-28,1,VLSFO,25.65,11.2,268.8,24,297.1507,0.7,Moderate,FMS_MARITIME,2026-04-06
2023-09-28,1,HFO,79.97,15.6,374.4,24,665.1351,0.79,Moderate,FMS_MARITIME,2026-04-06
2023-09-01,2,VLSFO,33.36,11.6,278.4,24,373.1431,0.86,Moderate,FMS_MARITIME,2026-04-06
2023-09-02,2,LNG,29.35,13.3,319.2,24,286.328,0.67,Moderate,FMS_MARITIME,2026-04-06
2023-09-03,2,LSMGO,35.22,10.0,240.0,24,456.9795,0.41,Rough,FMS_MARITIME,2026-04-06
2023-09-04,2,VLSFO,49.48,15.0,360.0,24,428.002,0.77,Moderate,FMS_MARITIME,2026-04-06
2023-09-05,2,LSMGO,50.58,9.5,228.0,24,690.8163,0.69,Calm,FMS_MARITIME,2026-04-06
2023-09-06,2,MGO,69.1,17.7,424.8,24,506.5381,0.67,Moderate,FMS_MARITIME,2026-04-06
2023-09-07,2,VLSFO,19.37,13.3,319.2,24,188.9667,0.96,Moderate,FMS_MARITIME,2026-04-06
2023-09-08,2,VLSFO,52.41,15.5,372.0,24,438.7224,0.67,Calm,FMS_MARITIME,2026-04-06
2023-09-09,2,HFO,38.38,9.8,235.2,24,508.1434,0.53,Moderate,FMS_MARITIME,2026-04-06
