log_date,vessel_id,fuel_grade,consumption_mt,speed_knots,distance_nm,running_hours,eeoi,load_factor,sea_condition,source_system,ingestion_date
2021-04-01,1,LSMGO,32.49,13.5,324.0,24,312.265,0.86,Moderate,FMS_MARITIME,2026-04-06
2021-04-02,1,HFO,66.21,12.5,300.0,24,687.2598,0.88,Moderate,FMS_MARITIME,2026-04-06
2021-04-03,1,VLSFO,73.9,14.8,355.2,24,647.8733,0.56,Calm,FMS_MARITIME,2026-04-06
2021-04-04,1,LSMGO,44.99,18.0,432.0,24,324.3029,0.51,Rough,FMS_MARITIME,2026-04-06
2021-04-05,1,VLSFO,27.89,11.2,268.8,24,323.1007,0.56,Calm,FMS_MARITIME,2026-04-06
2021-04-06,1,HFO,82.11,10.4,249.6,24,1024.4012,0.86,Calm,FMS_MARITIME,2026-04-06
2021-04-07,1,LNG,83.93,8.2,196.8,24,1328.0387,0.59,Calm,FMS_MARITIME,2026-04-06
2021-04-08,1,LSMGO,30.34,16.2,388.8,24,243.0009,0.65,Moderate,FMS_MARITIME,2026-04-06
2021-04-09,1,LNG,52.15,13.0,312.0,24,520.4971,0.86,Rough,FMS_MARITIME,2026-04-06
2021-04-10,1,VLSFO,46.43,14.6,350.4,24,412.6228,0.99,Moderate,FMS_MARITIME,2026-04-06
2021-04-11,1,MGO,70.89,12.0,288.0,24,766.4981,0.93,Calm,FMS_MARITIME,2026-04-06
2021-04-12,1,HFO,62.3,16.9,405.6,24,478.3092,0.68,Rough,FMS_MARITIME,2026-04-06
2021-04-13,1,HFO,18.9,13.8,331.2,24,177.7011,0.41,Rough,FMS_MARITIME,2026-04-06
2021-04-14,1,LSMGO,17.85,13.8,331.2,24,167.8288,0.66,Moderate,FMS_MARITIME,2026-04-06
2021-04-15,1,MGO,60.11,10.6,254.4,24,735.7804,0.99,Rough,FMS_MARITIME,2026-04-06
2021-04-16,1,LNG,34.44,15.7,376.8,24,284.6236,0.95,Moderate,FMS_MARITIME,2026-04-06
2021-04-17,1,MGO,22.91,15.0,360.0,24,198.1715,0.93,Rough,FMS_MARITIME,2026-04-06
2021-04-18,1,LNG,29.47,16.4,393.6,24,233.1544,0.41,Rough,FMS_MARITIME,2026-04-06
2021-04-19,1,HFO,16.21,17.6,422.4,24,119.5027,0.91,Rough,FMS_MARITIME,2026-04-06
2021-04-20,1,VLSFO,19.87,9.6,230.4,24,268.5555,0.41,Moderate,FMS_MARITIME,2026-04-06
2021-04-21,1,MGO,44.91,13.0,312.0,24,448.2363,0.66,Calm,FMS_MARITIME,2026-04-06
2021-04-22,1,HFO,43.78,13.4,321.6,24,423.9146,0.52,Calm,FMS_MARITIME,2026-04-06
2021-04-23,1,VLSFO,67.27,10.1,242.4,24,864.1864,0.43,Calm,FMS_MARITIME,2026-04-06
2021-04-24,1,LSMGO,57.71,13.1,314.4,24,571.5933,0.85,Moderate,FMS_MARITIME,2026-04-06
2021-04-25,1,LSMGO,77.49,9.4,225.6,24,1069.6093,0.6,Calm,FMS_MARITIME,2026-04-06
2021-04-26,1,LSMGO,61.15,14.3,343.2,24,554.84,0.83,Rough,FMS_MARITIME,2026-04-06
2021-04-27,1,HFO,26.2,10.2,244.8,24,333.2794,0.93,Calm,FMS_MARITIME,2026-04-06
2021-04-28,1,MGO,49.69,14.3,343.2,24,450.8586,0.72,Calm,FMS_MARITIME,2026-04-06
2021-04-28,1,MGO,71.18,9.9,237.6,24,932.8894,0.63,Moderate,FMS_MARITIME,2026-04-06
2021-04-28,1,LSMGO,66.49,12.3,295.2,24,701.3884,0.48,Calm,FMS_MARITIME,2026-04-06
2021-04-01,2,LNG,16.84,8.5,204.0,24,257.0576,0.53,Calm,FMS_MARITIME,2026-04-06
