bunker_date,vessel_id,port_name,fuel_grade,quantity_mt,unit_price_usd,total_cost_usd,supplier,rob_before_mt,rob_after_mt,source_system,ingestion_date
2023-11-25,123,Melbourne,VLSFO,871.95,821.61,716402.84,Integr8,125.56,712.44,BUNKERWORLD,2026-04-06
2023-11-23,103,Santos,MGO,1103.3,755.32,833344.56,Bomin,175.13,2170.66,BUNKERWORLD,2026-04-06
2023-12-01,130,Singapore,MGO,2561.21,485.25,1242827.15,World Fuel Services,1151.66,2371.7,BUNKERWORLD,2026-04-06
2023-10-21,61,Rotterdam,LNG,1479.44,723.27,1070034.57,World Fuel Services,917.1,951.74,BUNKERWORLD,2026-04-06
2023-11-23,137,Rotterdam,LSMGO,1351.35,533.18,720512.79,Bunker One,162.02,746.06,BUNKERWORLD,2026-04-06
2023-11-24,40,Santos,HFO,1512.53,512.72,775504.38,Peninsula,585.46,2338.67,BUNKERWORLD,2026-04-06
2023-10-31,143,Melbourne,LNG,269.82,583.24,157369.82,Peninsula,1331.06,1191.81,BUNKERWORLD,2026-04-06
2023-10-07,35,Rotterdam,LNG,1619.2,588.22,952445.82,Peninsula,1406.15,2596.96,BUNKERWORLD,2026-04-06
2023-10-19,98,Singapore,MGO,2996.18,605.76,1814966.0,Integr8,1423.22,1908.3,BUNKERWORLD,2026-04-06
2023-11-26,125,Houston,VLSFO,1221.8,355.17,433946.71,Integr8,1099.48,2332.56,BUNKERWORLD,2026-04-06
2023-10-23,105,Dubai,LSMGO,1290.94,670.55,865639.82,Bomin,292.02,1707.01,BUNKERWORLD,2026-04-06
2023-11-22,70,Houston,HFO,754.35,423.07,319142.85,Bunker One,579.98,859.85,BUNKERWORLD,2026-04-06
2023-11-26,16,Singapore,LSMGO,1987.06,514.48,1022302.63,Bunker One,324.21,735.43,BUNKERWORLD,2026-04-06
2023-12-14,95,Melbourne,HFO,1512.26,749.73,1133786.69,Integr8,942.77,1130.96,BUNKERWORLD,2026-04-06
2023-11-12,7,Shanghai,LSMGO,112.44,743.7,83621.63,World Fuel Services,438.4,2952.26,BUNKERWORLD,2026-04-06
