bunker_date,vessel_id,port_name,fuel_grade,quantity_mt,unit_price_usd,total_cost_usd,supplier,rob_before_mt,rob_after_mt,source_system,ingestion_date
2023-05-25,82,Santos,VLSFO,2230.42,603.85,1346839.12,Integr8,408.22,1293.04,BUNKERWORLD,2026-04-06
2023-05-13,92,Montreal,HFO,2888.56,663.36,1916155.16,Peninsula,1902.07,1799.9,BUNKERWORLD,2026-04-06
2023-06-06,45,Shanghai,VLSFO,2250.32,571.96,1287093.03,Peninsula,1564.82,2099.75,BUNKERWORLD,2026-04-06
2023-06-07,74,Singapore,LNG,2727.89,660.17,1800871.14,Bunker One,1173.32,1992.5,BUNKERWORLD,2026-04-06
2023-05-02,16,Santos,LNG,1345.95,456.86,614910.72,Peninsula,1312.24,916.07,BUNKERWORLD,2026-04-06
2023-06-17,39,Busan,VLSFO,1743.17,448.46,781742.02,Bomin,475.71,1907.57,BUNKERWORLD,2026-04-06
2023-03-25,50,Singapore,LSMGO,1767.44,548.39,969246.42,Integr8,1635.49,2250.75,BUNKERWORLD,2026-04-06
2023-04-24,76,Busan,MGO,1135.56,650.8,739022.45,World Fuel Services,303.86,1869.69,BUNKERWORLD,2026-04-06
2023-04-27,136,Montreal,HFO,2835.2,364.84,1034394.37,Integr8,1646.74,1067.99,BUNKERWORLD,2026-04-06
2023-03-25,4,Singapore,LSMGO,1252.75,529.04,662754.86,World Fuel Services,1555.64,2615.82,BUNKERWORLD,2026-04-06
2023-05-10,88,Singapore,LNG,1881.13,405.01,761876.46,Bomin,664.0,501.37,BUNKERWORLD,2026-04-06
2023-04-01,97,Houston,LSMGO,1527.12,401.44,613047.05,Peninsula,1429.44,1282.57,BUNKERWORLD,2026-04-06
2023-06-07,82,Dubai,LSMGO,2423.86,843.23,2043871.47,Bunker One,1521.22,976.99,BUNKERWORLD,2026-04-06
2023-04-18,53,Dubai,MGO,2456.73,687.1,1688019.18,Peninsula,447.36,1759.54,BUNKERWORLD,2026-04-06
2023-05-11,134,Singapore,LSMGO,2101.34,814.02,1710532.79,Bunker One,1485.8,2953.26,BUNKERWORLD,2026-04-06
2023-04-06,70,Dubai,HFO,2213.7,648.34,1435230.26,World Fuel Services,1183.31,1953.66,BUNKERWORLD,2026-04-06
