log_date,vessel_id,fuel_grade,consumption_mt,speed_knots,distance_nm,running_hours,eeoi,load_factor,sea_condition,source_system,ingestion_date
2022-04-01,1,LNG,15.36,12.4,297.6,24,160.7226,0.63,Calm,FMS_MARITIME,2026-04-06
2022-04-02,1,LSMGO,31.78,8.4,201.6,24,490.8875,0.57,Calm,FMS_MARITIME,2026-04-06
2022-04-03,1,LSMGO,40.87,8.1,194.4,24,654.6769,0.98,Calm,FMS_MARITIME,2026-04-06
2022-04-04,1,MGO,22.29,14.3,343.2,24,202.2467,0.48,Calm,FMS_MARITIME,2026-04-06
2022-04-05,1,HFO,38.03,16.5,396.0,24,299.0541,0.57,Calm,FMS_MARITIME,2026-04-06
2022-04-06,1,LNG,49.93,14.6,350.4,24,443.7272,0.52,Moderate,FMS_MARITIME,2026-04-06
2022-04-07,1,MGO,61.96,9.9,237.6,24,812.0515,0.48,Calm,FMS_MARITIME,2026-04-06
2022-04-08,1,VLSFO,60.82,9.1,218.4,24,867.1863,0.65,Moderate,FMS_MARITIME,2026-04-06
2022-04-09,1,VLSFO,59.25,12.0,288.0,24,640.6406,0.95,Calm,FMS_MARITIME,2026-04-06
2022-04-10,1,HFO,56.81,9.9,237.6,24,744.5553,0.67,Moderate,FMS_MARITIME,2026-04-06
2022-04-11,1,LNG,72.14,17.9,429.6,24,522.9142,0.8,Moderate,FMS_MARITIME,2026-04-06
2022-04-12,1,LNG,66.63,11.2,268.8,24,771.8967,0.44,Rough,FMS_MARITIME,2026-04-06
2022-04-13,1,HFO,58.29,15.8,379.2,24,478.679,0.43,Moderate,FMS_MARITIME,2026-04-06
2022-04-14,1,LSMGO,83.87,10.5,252.0,24,1036.3936,0.59,Moderate,FMS_MARITIME,2026-04-06
2022-04-15,1,LSMGO,27.34,9.8,235.2,24,361.976,0.77,Calm,FMS_MARITIME,2026-04-06
2022-04-16,1,MGO,69.4,12.7,304.8,24,709.0276,0.77,Calm,FMS_MARITIME,2026-04-06
2022-04-17,1,LSMGO,71.86,15.0,360.0,24,621.589,0.9,Rough,FMS_MARITIME,2026-04-06
2022-04-18,1,MGO,31.36,11.7,280.8,24,347.7744,0.62,Rough,FMS_MARITIME,2026-04-06
2022-04-19,1,VLSFO,38.23,12.0,288.0,24,413.3619,0.96,Calm,FMS_MARITIME,2026-04-06
