log_date,vessel_id,fuel_grade,consumption_mt,speed_knots,distance_nm,running_hours,eeoi,load_factor,sea_condition,source_system,ingestion_date
2023-05-01,1,LSMGO,35.17,11.5,276.0,24,396.8093,0.55,Rough,FMS_MARITIME,2026-04-06
2023-05-02,1,MGO,17.54,16.7,400.8,24,136.2763,0.66,Calm,FMS_MARITIME,2026-04-06
2023-05-03,1,HFO,48.79,14.4,345.6,24,439.6182,0.82,Moderate,FMS_MARITIME,2026-04-06
2023-05-04,1,MGO,47.89,11.7,280.8,24,531.0878,0.83,Moderate,FMS_MARITIME,2026-04-06
2023-05-05,1,MGO,19.09,13.7,328.8,24,180.7976,0.9,Calm,FMS_MARITIME,2026-04-06
2023-05-06,1,LNG,74.3,8.9,213.6,24,1083.1938,0.4,Calm,FMS_MARITIME,2026-04-06
2023-05-07,1,LNG,54.68,16.0,384.0,24,443.4206,0.88,Rough,FMS_MARITIME,2026-04-06
2023-05-08,1,LNG,67.41,8.2,196.8,24,1066.6399,0.51,Moderate,FMS_MARITIME,2026-04-06
2023-05-09,1,LNG,59.98,10.8,259.2,24,720.5931,0.91,Moderate,FMS_MARITIME,2026-04-06
2023-05-10,1,LNG,35.26,13.3,319.2,24,343.9838,0.98,Calm,FMS_MARITIME,2026-04-06
2023-05-11,1,LNG,42.96,14.8,355.2,24,376.6257,0.67,Moderate,FMS_MARITIME,2026-04-06
2023-05-12,1,HFO,53.97,12.1,290.4,24,578.7279,0.41,Calm,FMS_MARITIME,2026-04-06
2023-05-13,1,MGO,53.39,15.4,369.6,24,449.8281,0.93,Moderate,FMS_MARITIME,2026-04-06
2023-05-14,1,LNG,80.64,14.1,338.4,24,742.0596,0.95,Calm,FMS_MARITIME,2026-04-06
2023-05-15,1,HFO,61.91,13.9,333.6,24,577.9009,0.76,Rough,FMS_MARITIME,2026-04-06
2023-05-16,1,VLSFO,55.0,16.2,388.8,24,440.5093,0.71,Moderate,FMS_MARITIME,2026-04-06
2023-05-17,1,HFO,50.32,13.1,314.4,24,498.3985,0.64,Calm,FMS_MARITIME,2026-04-06
2023-05-18,1,VLSFO,78.86,12.6,302.4,24,812.0702,0.69,Rough,FMS_MARITIME,2026-04-06
2023-05-19,1,LSMGO,36.4,8.7,208.8,24,542.8621,0.89,Rough,FMS_MARITIME,2026-04-06
2023-05-20,1,HFO,22.43,9.8,235.2,24,296.9686,0.79,Rough,FMS_MARITIME,2026-04-06
2023-05-21,1,HFO,23.06,14.8,355.2,24,202.1645,0.41,Calm,FMS_MARITIME,2026-04-06
2023-05-22,1,MGO,18.61,17.5,420.0,24,137.9799,0.57,Calm,FMS_MARITIME,2026-04-06
2023-05-23,1,MGO,37.67,17.4,417.6,24,280.9013,0.98,Moderate,FMS_MARITIME,2026-04-06
2023-05-24,1,LNG,78.93,8.9,213.6,24,1150.693,0.69,Moderate,FMS_MARITIME,2026-04-06
2023-05-25,1,LNG,43.14,12.7,304.8,24,440.7413,0.58,Calm,FMS_MARITIME,2026-04-06
2023-05-26,1,LSMGO,66.35,17.4,417.6,24,494.7651,0.47,Rough,FMS_MARITIME,2026-04-06
2023-05-27,1,LNG,62.09,8.4,201.6,24,959.0688,0.42,Rough,FMS_MARITIME,2026-04-06
2023-05-28,1,VLSFO,73.92,16.5,396.0,24,581.28,0.73,Moderate,FMS_MARITIME,2026-04-06
2023-05-28,1,VLSFO,83.58,13.8,331.2,24,785.8337,0.83,Rough,FMS_MARITIME,2026-04-06
2023-05-28,1,MGO,71.06,12.9,309.6,24,714.7314,0.57,Calm,FMS_MARITIME,2026-04-06
2023-05-01,2,MGO,20.41,15.8,379.2,24,167.6074,0.64,Moderate,FMS_MARITIME,2026-04-06
2023-05-02,2,LNG,20.32,15.3,367.2,24,172.3216,0.98,Calm,FMS_MARITIME,2026-04-06
2023-05-03,2,LSMGO,28.05,11.3,271.2,24,322.0785,0.68,Calm,FMS_MARITIME,2026-04-06
2023-05-04,2,VLSFO,53.31,13.0,312.0,24,532.0748,0.41,Calm,FMS_MARITIME,2026-04-06
2023-05-05,2,HFO,66.86,11.5,276.0,24,754.3552,0.4,Calm,FMS_MARITIME,2026-04-06
2023-05-06,2,LNG,65.85,13.5,324.0,24,632.8917,0.52,Rough,FMS_MARITIME,2026-04-06
2023-05-07,2,LSMGO,26.0,12.6,302.4,24,267.7381,0.89,Calm,FMS_MARITIME,2026-04-06
2023-05-08,2,MGO,46.19,10.9,261.6,24,549.8305,0.6,Moderate,FMS_MARITIME,2026-04-06
2023-05-09,2,VLSFO,53.83,11.5,276.0,24,607.3428,0.89,Calm,FMS_MARITIME,2026-04-06
2023-05-10,2,VLSFO,78.39,9.9,237.6,24,1027.3841,0.59,Calm,FMS_MARITIME,2026-04-06
2023-05-11,2,VLSFO,47.96,13.4,321.6,24,464.3888,0.41,Calm,FMS_MARITIME,2026-04-06
2023-05-12,2,LNG,60.97,15.0,360.0,24,527.3905,0.86,Moderate,FMS_MARITIME,2026-04-06
2023-05-13,2,LNG,49.79,9.7,232.8,24,666.0054,0.94,Rough,FMS_MARITIME,2026-04-06
2023-05-14,2,MGO,64.33,13.0,312.0,24,642.0629,0.95,Moderate,FMS_MARITIME,2026-04-06
2023-05-15,2,LSMGO,82.03,15.1,362.4,24,704.8604,0.59,Moderate,FMS_MARITIME,2026-04-06
2023-05-16,2,MGO,69.4,17.8,427.2,24,505.8792,0.62,Moderate,FMS_MARITIME,2026-04-06
2023-05-17,2,LSMGO,57.24,11.2,268.8,24,663.1152,0.6,Rough,FMS_MARITIME,2026-04-06
2023-05-18,2,HFO,35.5,13.8,331.2,24,333.7772,0.56,Moderate,FMS_MARITIME,2026-04-06
2023-05-19,2,HFO,46.23,14.5,348.0,24,413.6788,0.88,Moderate,FMS_MARITIME,2026-04-06
2023-05-20,2,LNG,46.34,17.2,412.8,24,349.5706,0.47,Calm,FMS_MARITIME,2026-04-06
2023-05-21,2,MGO,29.35,13.7,328.8,24,277.9681,0.51,Moderate,FMS_MARITIME,2026-04-06
2023-05-22,2,VLSFO,70.26,9.0,216.0,24,1012.915,0.67,Rough,FMS_MARITIME,2026-04-06
2023-05-23,2,VLSFO,29.38,17.9,429.6,24,212.964,0.89,Calm,FMS_MARITIME,2026-04-06
2023-05-24,2,LNG,43.15,10.3,247.2,24,543.5643,0.89,Calm,FMS_MARITIME,2026-04-06
2023-05-25,2,LSMGO,30.16,9.3,223.2,24,420.7806,0.4,Moderate,FMS_MARITIME,2026-04-06
