bunker_date,vessel_id,port_name,fuel_grade,quantity_mt,unit_price_usd,total_cost_usd,supplier,rob_before_mt,rob_after_mt,source_system,ingestion_date
2022-11-01,90,Dubai,VLSFO,113.59,548.31,62282.53,Integr8,1057.22,2781.3,BUNKERWORLD,2026-04-06
2022-12-14,139,Busan,LNG,367.72,686.55,252458.17,Bunker One,989.57,1761.62,BUNKERWORLD,2026-04-06
2022-09-25,13,Houston,LSMGO,84.56,568.55,48076.59,Bunker One,1409.27,605.98,BUNKERWORLD,2026-04-06
2022-11-23,38,Houston,MGO,700.74,737.33,516676.62,Peninsula,925.11,833.53,BUNKERWORLD,2026-04-06
2022-09-25,134,Rotterdam,HFO,807.37,848.93,685400.61,Peninsula,829.42,2224.33,BUNKERWORLD,2026-04-06
2022-11-12,140,Dubai,LSMGO,891.23,426.23,379868.96,World Fuel Services,903.83,1002.42,BUNKERWORLD,2026-04-06
2022-11-04,70,Rotterdam,LSMGO,2865.47,769.51,2205007.82,Integr8,1435.13,1744.47,BUNKERWORLD,2026-04-06
2022-11-30,125,Busan,HFO,2821.51,788.56,2224929.93,Bomin,130.35,2883.15,BUNKERWORLD,2026-04-06
2022-10-07,39,Melbourne,LSMGO,910.42,643.15,585536.62,Peninsula,1109.63,1526.45,BUNKERWORLD,2026-04-06
2022-10-18,57,Shanghai,LSMGO,2209.09,529.59,1169911.97,Bomin,1204.17,1934.98,BUNKERWORLD,2026-04-06
2022-11-21,1,Melbourne,MGO,1496.9,678.89,1016230.44,Integr8,1521.04,1494.95,BUNKERWORLD,2026-04-06
2022-11-29,46,Rotterdam,MGO,942.52,363.38,342492.92,Integr8,314.73,999.98,BUNKERWORLD,2026-04-06
2022-10-01,97,Shanghai,MGO,2313.18,469.83,1086801.36,Bunker One,1570.01,992.55,BUNKERWORLD,2026-04-06
2022-10-19,105,Houston,LSMGO,1090.91,707.9,772255.19,Bunker One,280.74,2506.09,BUNKERWORLD,2026-04-06
2022-10-28,30,Santos,MGO,1447.67,409.77,593211.74,World Fuel Services,1555.71,1436.45,BUNKERWORLD,2026-04-06
2022-11-16,106,Rotterdam,LSMGO,789.91,719.29,568174.36,Bomin,817.88,1608.33,BUNKERWORLD,2026-04-06
2022-10-30,108,Singapore,MGO,99.63,373.11,37172.95,Bunker One,849.87,1098.78,BUNKERWORLD,2026-04-06
2022-12-03,44,Houston,VLSFO,507.86,832.23,422656.33,Bunker One,1826.65,2936.97,BUNKERWORLD,2026-04-06
2022-11-16,123,Busan,LSMGO,1570.94,734.32,1153572.66,Bomin,272.71,814.64,BUNKERWORLD,2026-04-06
2022-11-24,122,Rotterdam,LNG,331.82,738.21,244952.84,Peninsula,1940.64,894.52,BUNKERWORLD,2026-04-06
2022-12-10,57,Melbourne,LNG,2435.71,488.95,1190940.4,Bunker One,1104.47,2850.29,BUNKERWORLD,2026-04-06
2022-11-24,87,Santos,LSMGO,2268.9,427.1,969047.19,World Fuel Services,620.52,1663.38,BUNKERWORLD,2026-04-06
2022-11-23,142,Melbourne,VLSFO,1764.36,473.86,836059.63,Bunker One,1467.89,2708.56,BUNKERWORLD,2026-04-06
2022-11-07,38,Montreal,HFO,2831.26,504.31,1427832.73,Peninsula,714.13,911.32,BUNKERWORLD,2026-04-06
2022-09-28,144,Busan,VLSFO,2447.5,497.15,1216774.62,Peninsula,658.51,672.31,BUNKERWORLD,2026-04-06
