log_date,vessel_id,fuel_grade,consumption_mt,speed_knots,distance_nm,running_hours,eeoi,load_factor,sea_condition,source_system,ingestion_date
2021-03-01,1,LNG,20.65,11.1,266.4,24,241.3818,0.92,Moderate,FMS_MARITIME,2026-04-06
2021-03-02,1,LNG,48.38,9.0,216.0,24,697.4783,0.81,Rough,FMS_MARITIME,2026-04-06
2021-03-03,1,LNG,82.92,10.8,259.2,24,996.1917,0.93,Moderate,FMS_MARITIME,2026-04-06
2021-03-04,1,MGO,82.83,8.5,204.0,24,1264.3756,0.84,Rough,FMS_MARITIME,2026-04-06
2021-03-05,1,MGO,53.81,17.8,427.2,24,392.2386,1.0,Calm,FMS_MARITIME,2026-04-06
2021-03-06,1,LNG,60.33,10.5,252.0,24,745.5064,0.83,Rough,FMS_MARITIME,2026-04-06
2021-03-07,1,LNG,37.56,17.7,424.8,24,275.3339,0.51,Calm,FMS_MARITIME,2026-04-06
2021-03-08,1,HFO,19.11,8.3,199.2,24,298.7377,0.62,Rough,FMS_MARITIME,2026-04-06
2021-03-09,1,HFO,75.54,15.9,381.6,24,616.4349,0.67,Rough,FMS_MARITIME,2026-04-06
2021-03-10,1,VLSFO,45.46,13.6,326.4,24,433.7085,0.81,Rough,FMS_MARITIME,2026-04-06
2021-03-11,1,LNG,80.09,11.0,264.0,24,944.698,0.56,Calm,FMS_MARITIME,2026-04-06
2021-03-12,1,MGO,56.29,14.1,338.4,24,517.9878,0.92,Calm,FMS_MARITIME,2026-04-06
2021-03-13,1,LSMGO,40.4,9.8,235.2,24,534.8878,0.74,Calm,FMS_MARITIME,2026-04-06
2021-03-14,1,LNG,75.26,8.1,194.4,24,1205.5537,0.54,Moderate,FMS_MARITIME,2026-04-06
2021-03-15,1,VLSFO,73.45,17.3,415.2,24,550.875,0.67,Moderate,FMS_MARITIME,2026-04-06
2021-03-16,1,LSMGO,48.14,15.0,360.0,24,416.411,0.6,Moderate,FMS_MARITIME,2026-04-06
2021-03-17,1,LSMGO,26.58,16.5,396.0,24,209.0155,0.5,Rough,FMS_MARITIME,2026-04-06
2021-03-18,1,MGO,40.23,14.6,350.4,24,357.5235,0.56,Rough,FMS_MARITIME,2026-04-06
2021-03-19,1,VLSFO,52.67,10.8,259.2,24,632.7715,0.45,Rough,FMS_MARITIME,2026-04-06
2021-03-20,1,MGO,23.2,14.3,343.2,24,210.5035,0.79,Moderate,FMS_MARITIME,2026-04-06
2021-03-21,1,HFO,57.14,12.8,307.2,24,579.2121,0.8,Moderate,FMS_MARITIME,2026-04-06
2021-03-22,1,LSMGO,22.19,16.7,400.8,24,172.4043,0.73,Moderate,FMS_MARITIME,2026-04-06
2021-03-23,1,VLSFO,71.42,17.8,427.2,24,520.6037,0.49,Calm,FMS_MARITIME,2026-04-06
2021-03-24,1,VLSFO,15.97,12.7,304.8,24,163.1581,0.77,Calm,FMS_MARITIME,2026-04-06
