bunker_date,vessel_id,port_name,fuel_grade,quantity_mt,unit_price_usd,total_cost_usd,supplier,rob_before_mt,rob_after_mt,source_system,ingestion_date
2021-12-01,58,Melbourne,LSMGO,2939.91,502.45,1477157.78,World Fuel Services,1150.86,570.41,BUNKERWORLD,2026-04-06
2021-10-02,128,Melbourne,MGO,1076.97,812.27,874790.42,Peninsula,1388.65,1859.95,BUNKERWORLD,2026-04-06
2021-10-22,65,Rotterdam,VLSFO,930.67,385.46,358736.06,Bunker One,1151.24,832.69,BUNKERWORLD,2026-04-06
2021-10-24,94,Shanghai,MGO,2654.68,754.24,2002265.84,Bomin,1255.19,2774.98,BUNKERWORLD,2026-04-06
2021-11-30,20,Santos,LNG,816.24,779.54,636291.73,Integr8,1282.58,2613.06,BUNKERWORLD,2026-04-06
2021-10-11,65,Melbourne,LNG,1472.51,723.68,1065626.04,Peninsula,649.39,1779.3,BUNKERWORLD,2026-04-06
2021-10-09,45,Singapore,LNG,737.25,699.82,515942.3,Integr8,1427.19,2160.09,BUNKERWORLD,2026-04-06
2021-10-23,148,Shanghai,HFO,944.39,743.54,702191.74,Bomin,1387.75,1202.07,BUNKERWORLD,2026-04-06
2021-10-12,22,Melbourne,LSMGO,954.05,431.12,411310.04,World Fuel Services,1551.75,2468.32,BUNKERWORLD,2026-04-06
2021-10-29,139,Singapore,HFO,2768.97,775.82,2148222.31,Integr8,1194.76,1893.93,BUNKERWORLD,2026-04-06
2021-12-10,21,Dubai,LNG,1554.15,667.01,1036633.59,Peninsula,1286.95,1675.37,BUNKERWORLD,2026-04-06
2021-12-07,74,Busan,VLSFO,1188.94,475.83,565733.32,Peninsula,644.28,2749.3,BUNKERWORLD,2026-04-06
2021-12-16,64,Santos,HFO,2293.36,526.6,1207683.38,Bunker One,198.38,1081.5,BUNKERWORLD,2026-04-06
2021-10-19,21,Melbourne,LSMGO,753.77,365.67,275631.08,Peninsula,381.06,1202.93,BUNKERWORLD,2026-04-06
2021-11-20,58,Melbourne,LNG,609.7,796.85,485839.45,Integr8,1427.93,1228.95,BUNKERWORLD,2026-04-06
2021-11-05,82,Shanghai,LSMGO,1074.05,759.46,815698.01,Integr8,461.65,2096.6,BUNKERWORLD,2026-04-06
2021-10-10,146,Busan,HFO,378.19,480.67,181784.59,Bunker One,1975.41,1306.68,BUNKERWORLD,2026-04-06
2021-10-25,119,Hamburg,LNG,469.2,750.42,352097.06,Bomin,1330.82,1826.12,BUNKERWORLD,2026-04-06
2021-11-18,136,Busan,HFO,212.1,438.16,92933.74,Integr8,716.32,2118.89,BUNKERWORLD,2026-04-06
2021-11-24,84,Rotterdam,LNG,2573.59,390.5,1004986.9,Bunker One,645.01,2481.1,BUNKERWORLD,2026-04-06
2021-11-14,92,Santos,VLSFO,101.69,500.18,50863.3,Peninsula,1177.56,805.49,BUNKERWORLD,2026-04-06
2021-10-23,21,Melbourne,LNG,2557.73,533.05,1363397.98,Bomin,1492.65,2505.73,BUNKERWORLD,2026-04-06
2021-10-24,91,Shanghai,MGO,2965.14,654.58,1940921.34,Bomin,1348.93,1545.27,BUNKERWORLD,2026-04-06
2021-10-31,122,Hamburg,HFO,726.33,845.95,614438.86,Integr8,780.03,2598.47,BUNKERWORLD,2026-04-06
2021-10-17,16,Montreal,LSMGO,839.73,511.55,429563.88,Bomin,1357.71,2305.63,BUNKERWORLD,2026-04-06
2021-09-28,48,Montreal,HFO,669.71,631.19,422714.25,Bunker One,1802.58,990.5,BUNKERWORLD,2026-04-06
2021-11-15,57,Santos,HFO,2367.42,842.05,1993486.01,Integr8,932.31,2041.25,BUNKERWORLD,2026-04-06
2021-11-09,30,Houston,MGO,403.13,820.31,330691.57,Bunker One,1045.77,1670.57,BUNKERWORLD,2026-04-06
