bunker_date,vessel_id,port_name,fuel_grade,quantity_mt,unit_price_usd,total_cost_usd,supplier,rob_before_mt,rob_after_mt,source_system,ingestion_date
2022-03-18,73,Hamburg,LSMGO,1233.59,755.48,931952.57,Peninsula,1048.28,1758.79,BUNKERWORLD,2026-04-06
2022-02-22,87,Hamburg,MGO,1025.36,526.02,539359.87,Bomin,1192.2,2088.65,BUNKERWORLD,2026-04-06
2022-02-22,71,Busan,LNG,552.43,830.66,458881.5,Bomin,1214.07,2459.2,BUNKERWORLD,2026-04-06
2022-02-06,19,Montreal,LNG,1603.15,764.86,1226185.31,Integr8,1763.23,1389.92,BUNKERWORLD,2026-04-06
2022-03-09,108,Houston,HFO,1674.01,637.95,1067934.68,Bomin,225.42,620.42,BUNKERWORLD,2026-04-06
2022-03-11,150,Rotterdam,LSMGO,1564.33,532.34,832755.43,World Fuel Services,1542.78,1042.72,BUNKERWORLD,2026-04-06
2022-02-18,56,Dubai,VLSFO,2925.41,589.61,1724850.99,Bomin,1304.59,660.0,BUNKERWORLD,2026-04-06
2022-01-04,57,Singapore,LSMGO,2085.39,408.08,851005.95,World Fuel Services,1487.03,2291.05,BUNKERWORLD,2026-04-06
2022-01-25,3,Rotterdam,MGO,297.8,481.57,143411.55,Integr8,1895.77,2122.89,BUNKERWORLD,2026-04-06
2022-02-18,31,Dubai,HFO,412.17,811.34,334410.01,Integr8,480.21,2534.61,BUNKERWORLD,2026-04-06
2022-01-18,57,Santos,MGO,1174.52,759.11,891589.88,Bunker One,119.6,2865.85,BUNKERWORLD,2026-04-06
2022-02-08,11,Montreal,LNG,1997.4,730.48,1459060.75,Bunker One,867.8,2339.89,BUNKERWORLD,2026-04-06
2022-02-28,69,Montreal,HFO,1978.43,562.7,1113262.56,Bunker One,608.94,673.63,BUNKERWORLD,2026-04-06
2022-01-19,121,Santos,LNG,1072.47,807.67,866201.84,Bomin,1840.85,983.08,BUNKERWORLD,2026-04-06
2021-12-30,56,Singapore,MGO,853.99,406.27,346950.52,World Fuel Services,1675.35,1473.53,BUNKERWORLD,2026-04-06
2022-02-13,50,Houston,VLSFO,376.66,486.76,183343.02,Bunker One,1863.71,1786.78,BUNKERWORLD,2026-04-06
2022-03-01,51,Houston,LSMGO,1135.42,732.65,831865.46,Bunker One,1692.02,2409.0,BUNKERWORLD,2026-04-06
2022-01-14,59,Santos,LSMGO,725.71,779.92,565995.74,Bunker One,148.6,2402.9,BUNKERWORLD,2026-04-06
2022-01-21,61,Dubai,HFO,1846.16,567.68,1048028.11,World Fuel Services,181.48,2579.83,BUNKERWORLD,2026-04-06
2022-01-05,40,Montreal,VLSFO,2272.72,674.27,1532426.91,Bomin,260.9,1178.76,BUNKERWORLD,2026-04-06
2022-02-16,62,Singapore,LSMGO,375.64,607.25,228107.39,Bomin,576.6,1772.76,BUNKERWORLD,2026-04-06
2021-12-31,18,Rotterdam,HFO,1798.65,502.4,903641.76,Peninsula,555.11,875.33,BUNKERWORLD,2026-04-06
2022-01-02,140,Rotterdam,HFO,1049.7,565.12,593206.46,Bunker One,1880.17,1481.07,BUNKERWORLD,2026-04-06
2022-02-01,1,Houston,MGO,253.08,671.86,170034.33,Bunker One,469.73,2023.26,BUNKERWORLD,2026-04-06
2022-02-14,73,Santos,VLSFO,725.39,388.01,281458.57,Integr8,468.5,2158.99,BUNKERWORLD,2026-04-06
2022-01-14,139,Busan,VLSFO,2062.13,793.35,1635990.84,Bomin,1286.23,2085.85,BUNKERWORLD,2026-04-06
2022-03-25,144,Dubai,LNG,2899.16,386.63,1120902.23,Peninsula,1752.83,1604.03,BUNKERWORLD,2026-04-06
2022-01-11,122,Hamburg,MGO,2357.35,781.81,1842999.8,Bomin,668.26,2168.12,BUNKERWORLD,2026-04-06
2022-01-15,52,Santos,LNG,626.01,608.23,380758.06,World Fuel Services,632.69,534.67,BUNKERWORLD,2026-04-06
