bunker_date,vessel_id,port_name,fuel_grade,quantity_mt,unit_price_usd,total_cost_usd,supplier,rob_before_mt,rob_after_mt,source_system,ingestion_date
2021-09-25,25,Shanghai,LNG,1142.36,814.89,930897.74,Bomin,1745.94,2779.92,BUNKERWORLD,2026-04-06
2021-07-19,13,Santos,LNG,1802.02,413.98,746000.24,Peninsula,1168.45,1652.53,BUNKERWORLD,2026-04-06
2021-07-29,129,Dubai,MGO,887.64,505.76,448932.81,World Fuel Services,796.4,1219.44,BUNKERWORLD,2026-04-06
2021-09-06,47,Rotterdam,MGO,2237.84,414.7,928032.25,Bomin,1019.03,1402.16,BUNKERWORLD,2026-04-06
2021-08-16,149,Dubai,VLSFO,2211.25,597.65,1321553.56,Bomin,1353.47,941.47,BUNKERWORLD,2026-04-06
2021-09-17,125,Rotterdam,MGO,1627.24,761.72,1239501.25,Bunker One,1358.04,2187.73,BUNKERWORLD,2026-04-06
2021-09-23,54,Busan,HFO,1786.8,830.5,1483937.4,Bomin,1682.62,2633.06,BUNKERWORLD,2026-04-06
2021-07-05,55,Dubai,VLSFO,333.62,528.08,176178.05,Integr8,1953.94,2373.89,BUNKERWORLD,2026-04-06
2021-08-07,115,Shanghai,LSMGO,1700.39,670.95,1140876.67,Bomin,1402.75,2851.14,BUNKERWORLD,2026-04-06
2021-07-27,140,Santos,HFO,2182.13,562.6,1227666.34,Integr8,503.91,905.68,BUNKERWORLD,2026-04-06
2021-07-04,139,Dubai,LSMGO,110.92,406.04,45037.96,World Fuel Services,667.22,2000.82,BUNKERWORLD,2026-04-06
2021-07-12,28,Houston,HFO,512.57,827.4,424100.42,Bomin,217.74,1222.15,BUNKERWORLD,2026-04-06
2021-08-17,127,Melbourne,MGO,1077.39,824.29,888081.8,Bomin,364.23,2067.21,BUNKERWORLD,2026-04-06
2021-08-09,55,Hamburg,LSMGO,788.82,376.16,296722.53,Peninsula,1432.8,2428.67,BUNKERWORLD,2026-04-06
2021-07-29,43,Singapore,MGO,1837.75,487.85,896546.34,Bomin,1034.85,2039.96,BUNKERWORLD,2026-04-06
2021-07-16,52,Houston,VLSFO,2678.9,759.34,2034195.93,Bomin,494.88,658.53,BUNKERWORLD,2026-04-06
2021-09-08,81,Melbourne,HFO,54.48,590.23,32155.73,Bunker One,850.35,1101.68,BUNKERWORLD,2026-04-06
2021-09-07,39,Montreal,LSMGO,2954.09,830.91,2454582.92,Peninsula,1384.46,525.86,BUNKERWORLD,2026-04-06
2021-08-20,120,Busan,VLSFO,1060.83,743.37,788589.2,Peninsula,287.59,1858.67,BUNKERWORLD,2026-04-06
2021-08-17,118,Rotterdam,LSMGO,2698.41,516.38,1393404.96,Bomin,1906.32,2377.41,BUNKERWORLD,2026-04-06
2021-07-14,5,Hamburg,VLSFO,2009.65,767.23,1541863.77,Integr8,1305.24,1943.56,BUNKERWORLD,2026-04-06
2021-09-11,40,Rotterdam,HFO,2072.27,362.26,750700.53,Peninsula,523.17,2954.77,BUNKERWORLD,2026-04-06
2021-09-17,31,Melbourne,LSMGO,60.8,423.04,25720.83,Bomin,215.94,1089.76,BUNKERWORLD,2026-04-06
2021-09-18,105,Houston,LNG,2107.31,641.28,1351375.76,Bomin,346.49,1515.14,BUNKERWORLD,2026-04-06
2021-08-08,50,Busan,MGO,854.96,610.45,521910.33,World Fuel Services,351.85,1371.34,BUNKERWORLD,2026-04-06
