log_date,vessel_id,fuel_grade,consumption_mt,speed_knots,distance_nm,running_hours,eeoi,load_factor,sea_condition,source_system,ingestion_date
2023-07-01,1,HFO,64.65,9.6,230.4,24,873.7852,0.97,Moderate,FMS_MARITIME,2026-04-06
2023-07-02,1,HFO,65.0,10.5,252.0,24,803.2143,0.82,Rough,FMS_MARITIME,2026-04-06
2023-07-03,1,LSMGO,35.19,9.0,216.0,24,507.3225,0.91,Calm,FMS_MARITIME,2026-04-06
2023-07-04,1,HFO,36.14,12.9,309.6,24,363.5012,0.86,Moderate,FMS_MARITIME,2026-04-06
2023-07-05,1,VLSFO,63.13,14.7,352.8,24,557.2189,0.61,Moderate,FMS_MARITIME,2026-04-06
2023-07-06,1,LSMGO,37.64,13.3,319.2,24,367.2023,0.57,Calm,FMS_MARITIME,2026-04-06
2023-07-07,1,LSMGO,82.57,10.8,259.2,24,991.9868,0.4,Rough,FMS_MARITIME,2026-04-06
2023-07-08,1,LSMGO,40.93,9.5,228.0,24,559.0176,0.71,Moderate,FMS_MARITIME,2026-04-06
2023-07-09,1,LNG,74.72,9.2,220.8,24,1053.7957,0.75,Calm,FMS_MARITIME,2026-04-06
2023-07-10,1,VLSFO,19.74,16.2,388.8,24,158.1028,0.84,Rough,FMS_MARITIME,2026-04-06
2023-07-11,1,MGO,18.94,13.1,314.4,24,187.5927,1.0,Moderate,FMS_MARITIME,2026-04-06
2023-07-12,1,LSMGO,40.84,15.8,379.2,24,335.3791,0.64,Rough,FMS_MARITIME,2026-04-06
2023-07-13,1,MGO,45.41,13.0,312.0,24,453.2267,0.83,Calm,FMS_MARITIME,2026-04-06
2023-07-14,1,VLSFO,48.38,12.3,295.2,24,510.35,0.94,Rough,FMS_MARITIME,2026-04-06
2023-07-15,1,MGO,52.29,14.0,336.0,24,484.6162,0.52,Calm,FMS_MARITIME,2026-04-06
2023-07-16,1,HFO,53.89,9.8,235.2,24,713.4926,0.92,Moderate,FMS_MARITIME,2026-04-06
2023-07-17,1,VLSFO,83.44,16.0,384.0,24,676.6463,0.55,Moderate,FMS_MARITIME,2026-04-06
